id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45542,Rental unit in New York · ★4.78 · 2 bedrooms · 2 beds · 1 bath,202249,Campbell,Manhattan,Harlem,40.82569,-73.93842,Entire home/apt,100,30,18,17/12/2018,0.3,1,0,0,
45737,Rental unit in New York · ★4.42 · 1 bedroom · 1 bed · 1 bath,203444,Dana,Manhattan,West Village,40.73948,-74.00504,Private room,73,30,29,26/08/2023,0.18,1,33,4,
45910,Townhouse in Queens · ★4.42 · 5 bedrooms · 10 beds · 2.5 baths,204539,Mark,Queens,Ridgewood,40.70309,-73.89963,Entire home/apt,500,30,13,12/11/2019,0.09,9,365,0,
45935,Rental unit in Bronx · 1 bedroom · 1 bed · 1 shared bath,204586,L,Bronx,Mott Haven,40.80635,-73.92201,Private room,60,30,0,,,1,83,0,
45936,Bed and breakfast in New York · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,867225,Rahul,Manhattan,Morningside Heights,40.8063,-73.95985,Private room,98,31,138,31/05/2023,0.89,2,105,3,
46911,Home in Brooklyn · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,210746,Kathleen R.,Brooklyn,Prospect Heights,40.68022,-73.97457,Private room,120,30,69,15/12/2022,0.44,3,248,3,
49048,Home in Brooklyn · ★4.42 · 1 bedroom · 2 beds · 2 baths,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6829,-73.95701,Private room,104,30,25,29/01/2023,0.17,5,278,2,
51438,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,236421,Jessica,Manhattan,Upper East Side,40.77449,-73.95308,Private room,130,30,0,,,2,0,0,
52689,Guest suite in Astoria · ★4.97 · 2 bedrooms · 2 beds · 1 bath,244071,Litza,Queens,Ditmars Steinway,40.77868,-73.90652,Entire home/apt,207,30,69,26/06/2023,0.45,1,5,31,
53469,Guesthouse in Queens · ★4.34 · 1 bedroom · 1 bed · 1 bath,204539,Mark,Queens,Middle Village,40.71567,-73.87842,Entire home/apt,130,30,33,09/05/2015,0.21,9,354,0,
53470,Rental unit in Queens · ★4.0 · 2 bedrooms · 3 beds · 1 bath,204539,Mark,Queens,Ridgewood,40.70422,-73.89778,Entire home/apt,248,30,6,08/10/2015,0.04,9,354,0,
53477,Townhouse in Queens · ★4.71 · 4 bedrooms · 8 beds · 2 baths,204539,Mark,Queens,Middle Village,40.71778,-73.87714,Entire home/apt,350,30,16,09/08/2019,0.11,9,355,0,
54466,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,253385,Douglas,Manhattan,Harlem,40.80255,-73.95803,Shared room,200,30,0,,,1,365,0,
54508,Guest suite in Brooklyn · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths,210746,Kathleen R.,Brooklyn,Park Slope,40.67908,-73.97405,Private room,95,30,168,03/09/2023,1.07,3,326,33,
54544,Rental unit in New York · ★4.64 · 1 bedroom · 4 beds · 1 bath,256161,Wayne,Manhattan,Harlem,40.81182,-73.94631,Entire home/apt,190,30,140,28/08/2023,0.91,4,299,18,
